Datetime,Serving_Cell_Id, Call_Id, measurementId,rsrpRslt,rsrqRslt,nCellCount,pci_1,rsrp_1,rsrq_1,pci_2,rsrp_2,rsrq_2,pci_3,rsrp_3,rsrq_3,pci_4,rsrp_4,rsrq_4,pci_5,rsrp_5,rsrq_5,pci_6,rsrp_6,rsrq_6,pci_7,rsrp_7,rsrq_7,pci_8,rsrpv,rsrq_8
2025-02-27 05:30:56.525,6436097,16289530,9,56,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.565,6436097,16291059,8,49,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.565,6436097,16168562,8,47,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.565,6436238,16290997,13,45,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.595,6436238,16290787,19,46,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.625,6436097,828962127,23,47,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.665,6436097,16168060,11,48,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.745,6436238,16291021,8,32,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.765,6436096,16291024,8,39,18,2,389,35,10,388,33,5,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.805,6436238,828962054,3,51,27,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.825,6436097,16168500,9,55,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.825,6436098,16168573,6,55,21,1,387,46,2,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.845,6436238,16102365,9,41,22,1,155,31,2,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.875,6436098,16168583,8,51,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.715,6436096,15796744,8,66,19,1,389,61,9,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.795,6436097,15886567,8,61,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.795,6436098,15886555,8,52,20,1,225,49,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.815,6436137,828964612,6,41,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.835,6436097,15941001,13,62,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.855,6436097,15796700,8,54,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.875,6436098,15884461,9,54,19,2,390,47,7,56,47,6,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.895,6436097,15886418,8,34,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.935,6436238,828964237,2,46,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.035,6436098,15886403,8,53,16,1,388,51,12,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.135,6436096,15886526,8,64,18,1,389,63,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.175,6436238,15796255,2,37,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.175,6436098,15818787,11,70,13,1,387,69,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.195,6436098,15872833,5,52,16,4,252,45,2,225,44,0,183,39,0,388,35,0,,,,,,,,,,,,,
2025-02-27 05:30:57.195,6436238,15886498,11,56,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.215,6436097,15796745,8,58,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.235,6436238,15941002,8,38,27,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.275,6436238,15796729,9,51,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.295,6436098,15941013,5,68,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.355,6436238,15886452,17,42,23,1,155,30,1,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.395,6436098,828959225,9,54,11,1,387,56,16,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.435,6436098,15884458,9,62,13,1,387,63,17,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.455,6436097,15796760,8,61,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.455,6436178,828964650,14,36,10,4,182,33,4,384,32,7,367,32,1,442,30,1,,,,,,,,,,,,,
2025-02-27 05:30:56.915,6436178,828964593,22,39,9,2,182,40,10,442,37,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.935,6436096,16168410,8,44,14,1,10,45,16,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.945,6436238,16290488,9,62,28,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.075,6436238,16168484,8,34,22,1,155,29,12,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.115,6436098,828964657,18,45,12,2,242,42,12,338,40,7,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.115,6436238,16291023,8,46,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.145,6436098,16290361,9,41,16,1,388,35,4,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.145,6436098,16291049,10,55,19,2,11,47,5,387,42,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.165,6436096,16291041,9,55,16,3,117,55,8,231,49,1,389,47,5,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.185,6436098,16167169,9,55,15,1,338,53,9,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.305,6436098,16168561,9,49,16,1,387,49,18,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.325,6436178,16291060,8,69,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.345,6436096,828964574,1,36,15,3,389,31,5,31,29,0,241,28,0,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.505,6436178,16168485,8,43,20,2,442,37,13,384,34,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.605,6436098,16168584,8,55,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.685,6436098,16166663,10,68,25,1,387,60,9,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.735,6436097,16291054,9,42,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.805,6436096,16291018,9,53,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.805,6436138,16290972,23,62,28,2,95,54,12,269,50,6,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.825,6436178,16291061,8,46,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.855,6436138,16290972,23,61,27,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.495,6436097,15940967,8,41,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.515,6436097,15886568,8,55,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.535,6436096,15940950,8,41,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.615,6436238,15886544,8,39,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.655,6436097,15940986,9,45,21,1,226,37,5,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.735,6436238,15795556,10,48,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.735,6436097,15941014,8,52,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.845,6436096,15941003,8,58,15,1,389,56,14,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.855,6436098,828964667,21,49,12,2,225,49,10,11,45,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.915,6436096,15885868,8,57,16,1,389,56,12,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.915,6436096,15940548,10,49,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.935,6436098,15886161,8,59,18,1,387,54,6,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.955,6436097,828960199,7,44,19,1,389,40,16,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.995,6436178,828964666,8,45,6,3,442,44,4,387,44,3,25,44,3,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.095,6436098,15886528,9,29,15,1,11,25,8,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.115,6436096,15886557,10,47,18,1,388,41,7,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.115,6436098,15886005,15,57,12,2,387,54,15,11,52,5,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.115,6436098,15941004,8,51,17,1,387,47,9,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.135,6436097,15886545,8,47,13,2,44,46,11,394,41,2,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.155,6436097,15796740,8,52,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.155,6436098,15941015,8,43,9,2,387,40,13,388,39,10,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.175,6436178,828964652,18,34,13,2,182,33,11,442,29,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.215,6436098,15796747,8,47,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.325,6436238,15796748,8,36,22,1,300,26,2,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.325,6436138,828964398,4,31,10,3,302,31,8,151,30,6,102,27,3,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.905,6436238,16291031,8,55,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.005,6436178,828964598,18,46,19,3,84,40,7,182,39,6,442,39,6,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.065,6436097,16168575,8,57,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.115,6436097,16291050,8,56,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.125,6436096,16222942,9,64,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.145,6436098,16291062,8,56,15,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.325,6436096,16168576,8,66,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.355,6436098,16167919,10,49,17,2,11,43,4,117,42,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.405,6436178,16291042,8,57,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.425,6436098,16291051,8,71,16,1,387,68,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.425,6436178,16168568,9,46,8,2,384,39,9,442,36,8,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.465,6436097,16168585,8,55,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.465,6436098,16291045,9,50,12,1,387,49,18,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.495,6436097,16291043,8,51,21,1,389,49,15,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.335,6436178,15886569,8,51,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.335,6436238,15886558,9,43,24,2,155,36,7,108,33,5,,,,,,,,,,,,,,,,,,,
