Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:33:36.958,6436097,15886785,2,
2025-02-27 05:33:36.946,6436227,15886785,255,
2025-02-27 05:33:37.063,6436096,829019519,21,
2025-02-27 05:33:37.058,6436238,829019519,255,
2025-02-27 05:33:37.085,6436238,15941205,30,
2025-02-27 05:33:37.156,6436238,828963725,36,
2025-02-27 05:33:37.273,6436096,829019539,43,
2025-02-27 05:33:37.444,6436098,16291321,11,
2025-02-27 05:33:37.529,6436097,16291244,31,
2025-02-27 05:33:37.537,6436098,16291288,41,
2025-02-27 05:33:37.541,6436178,828964839,35,
2025-02-27 05:33:37.649,6436096,16168810,41,
2025-02-27 05:33:37.858,6436098,15797006,30,
2025-02-27 05:33:37.861,6436238,15796989,24,
2025-02-27 05:33:37.902,6436237,16291313,27,
2025-02-27 05:33:37.926,6436097,16291322,7,
2025-02-27 05:33:37.962,6436098,829019519,12,
2025-02-27 05:33:37.971,6436098,16168812,10,
2025-02-27 05:33:37.999,6436097,15796996,27,
2025-02-27 05:33:37.988,6436227,15796996,255,
2025-02-27 05:33:38.068,6436097,15886708,35,
2025-02-27 05:33:38.092,6436238,828963169,30,
2025-02-27 05:33:38.171,6436097,15941215,7,
2025-02-27 05:33:38.249,6436238,15796993,27,
2025-02-27 05:33:38.276,6436096,829019499,40,
2025-02-27 05:33:38.297,6436247,16291030,24,
2025-02-27 05:33:38.391,6436238,16168813,33,
2025-02-27 05:33:38.500,6436178,15941253,29,
2025-02-27 05:33:38.572,6436098,829019535,35,
2025-02-27 05:33:38.804,6436096,16168789,30,
2025-02-27 05:33:38.804,6436238,16168789,255,
2025-02-27 05:33:38.832,6436096,15941244,31,
2025-02-27 05:33:38.863,6436178,15796999,33,
2025-02-27 05:33:39.033,6436097,15796975,30,
2025-02-27 05:33:39.103,6436098,16168748,3,
2025-02-27 05:33:39.220,6436137,15941103,16,
2025-02-27 05:33:39.337,6436098,16168824,27,
2025-02-27 05:33:39.418,6436238,15940662,32,
2025-02-27 05:33:39.623,6436138,829019536,255,
2025-02-27 05:33:39.623,6436098,829019536,18,
2025-02-27 05:33:39.672,6436096,829019519,23,
2025-02-27 05:33:39.748,6436098,16168693,51,
2025-02-27 05:33:39.843,6436178,15885868,41,
2025-02-27 05:33:39.871,6436238,15796985,29,
2025-02-27 05:33:39.993,6436097,829019505,19,
2025-02-27 05:33:40.208,6436178,15941254,29,
2025-02-27 05:33:40.267,6436096,15796991,27,
2025-02-27 05:33:40.306,6436097,828962127,15,
2025-02-27 05:33:40.368,6436096,829019503,35,
2025-02-27 05:33:40.357,6436247,828964380,255,
2025-02-27 05:33:40.357,6436237,828964380,32,
2025-02-27 05:33:40.434,6436096,15886757,35,
2025-02-27 05:33:40.470,6436238,15940897,28,
2025-02-27 05:33:40.492,6436247,15941183,29,
2025-02-27 05:33:40.499,6436238,15941183,255,
2025-02-27 05:33:40.537,6436178,828964598,39,
2025-02-27 05:33:40.595,6436137,828964612,20,
2025-02-27 05:33:40.702,6436096,829019552,28,
2025-02-27 05:33:40.721,6436098,829019519,1,
2025-02-27 05:33:40.709,6436247,829019519,255,
2025-02-27 05:33:40.762,6436238,15885154,28,
2025-02-27 05:33:40.810,6436098,15886403,15,
2025-02-27 05:33:40.842,6436098,15796992,14,
2025-02-27 05:33:40.843,6436138,828964706,26,
2025-02-27 05:33:40.838,6436238,15796992,255,
2025-02-27 05:33:40.972,6436096,829019557,31,
2025-02-27 05:33:41.100,6436097,15941255,29,
2025-02-27 05:33:41.191,6436098,828959225,18,
2025-02-27 05:33:41.238,6436238,15796969,30,
2025-02-27 05:33:41.261,6436097,16291319,25,
2025-02-27 05:33:41.343,6436238,16168835,14,
