Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:30:58.064,6436178,828964657,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.064,6436098,828964657,26,7,8,1339,16,72,2147483647,
2025-02-27 05:30:58.066,6436098,15941004,36,14,10,2215,32,48,2147483647,
2025-02-27 05:30:58.062,6436238,828964657,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.072,6436238,828963969,255,4,4,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.079,6436098,15940996,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.079,6436178,15940996,42,14,11,1854,32,48,2147483647,
2025-02-27 05:30:58.075,6436238,15940996,255,14,14,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.088,6436097,15796740,30,13,11,2444,0,24,2147483647,
2025-02-27 05:30:58.090,6436238,16291041,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.094,6436096,16291041,21,4,5,1545,0,84,2147483647,
2025-02-27 05:30:58.094,6436136,16291041,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.095,6436178,828964652,6,8,6,705,32,72,2147483647,
2025-02-27 05:30:58.161,6436178,16291042,40,12,14,1434,48,72,2147483647,
2025-02-27 05:30:58.158,6436238,16291042,255,10,10,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.200,6436238,16168574,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.204,6436178,16168574,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.204,6436098,16168574,28,13,12,2206,32,60,2147483647,
2025-02-27 05:30:58.217,6436097,16289530,32,5,5,2431,0,24,2147483647,
2025-02-27 05:30:58.217,6436137,16289530,255,11,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:58.271,6436238,15886558,29,9,9,1719,0,72,1828,
2025-02-27 05:30:58.280,6436098,16167919,26,5,8,1777,64,72,2147483647,
2025-02-27 05:30:58.291,6436098,15941015,7,10,255,1726,0,12,2147483647,
2025-02-27 05:30:58.298,6436098,16291062,36,15,15,3116,16,36,2147483647,
2025-02-27 05:30:58.304,6436098,15886005,26,14,255,2495,64,72,2147483647,
2025-02-27 05:30:58.300,6436238,15886005,255,255,255,2147483647,4294967295,2147483647,2147483647,
