Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:42:09.984,6436098,15941773,3,5,9,51210,704803,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:09.989,6436098,15885154,3,5,9,72858,4130,6,5,0,0,7,8,0,689522,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.038,6436096,15941872,2,5,8,20625,27920,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.059,6436226,15941872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.208,6436097,15887221,3,5,9,22940,365471,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.213,6436098,15797722,3,5,9,2541,415,6,5,0,0,7,8,0,6097,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.324,6436096,16169421,2,5,9,467097,46662,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.346,6436097,829020207,3,5,9,61971,757728,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.689,6436096,16169494,2,5,9,1534,104,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.760,6436097,15941981,2,5,9,18603,7076,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:10.842,6436098,16292000,3,5,9,8546,2000,6,5,0,0,7,8,0,1294,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:11.155,6436098,15797715,3,5,9,87986,211425,7,5,0,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:11.250,6436238,15886921,3,5,9,26015,330038,6,5,0,0,7,8,0,417,,,,,,,,,,,,,,,,,,,,,
