Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:31:03.968,6436178,828962359,4294967295,4294967295,0,0,0,4294967295,0,4,5,1,
2025-02-27 05:31:03.972,6436098,828962359,0,37,0,32,33,1363,102,7,5,1,
2025-02-27 05:31:04.230,6436098,16291008,0,11,0,12,0,266,35,8,2,0,
2025-02-27 05:31:04.232,6436238,16291008,4294967295,4294967295,0,0,0,4294967295,0,9,6,0,
2025-02-27 05:31:04.244,6436238,15940897,0,228,0,350,350,587,5082,15,15,1,
2025-02-27 05:31:04.277,6436098,15940985,0,12,0,10,0,103,21,9,6,0,
2025-02-27 05:31:04.299,6436238,15885154,0,31,0,31,32,66,59,13,13,1,
2025-02-27 05:31:04.465,6436178,15796774,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,7,255,0,
2025-02-27 05:31:04.465,6436238,828963169,0,18,0,10,10,16,13,13,13,1,
2025-02-27 05:31:04.537,6436097,15941020,0,12,0,5,0,0,16,6,255,0,
2025-02-27 05:31:04.627,6436097,16168428,0,7,0,3,3,4,4,11,11,1,
2025-02-27 05:31:04.778,6436098,16291065,0,15,1,12,2,24,45,12,10,1,
2025-02-27 05:31:04.795,6436098,15941008,0,27,0,38,38,587,517,11,11,1,
2025-02-27 05:31:04.911,6436097,16166899,0,194,0,499,298,9056,14068,9,9,1,
2025-02-27 05:31:04.973,6436097,15796775,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,13,255,0,
2025-02-27 05:31:04.988,6436097,15941001,0,9,0,8,8,6,18,13,15,1,
2025-02-27 05:31:04.986,6436238,15941001,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:05.048,6436097,15796609,0,18,0,66,0,98,2904,11,5,0,
2025-02-27 05:31:05.073,6436098,16168578,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:31:05.074,6436178,16168578,0,495,0,3,1,0,8,7,4,0,
2025-02-27 05:31:05.197,6436097,16168553,0,10,0,59,59,20,4218,10,12,1,
2025-02-27 05:31:05.374,6436096,16291067,0,480,0,10,0,2,33,9,7,0,
2025-02-27 05:31:05.431,6436097,15941021,0,24,0,25,25,547,123,14,12,1,
2025-02-27 05:31:05.432,6436098,15886577,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,9,0,
2025-02-27 05:31:05.428,6436238,15886577,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:31:05.622,6436238,15796776,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,255,
2025-02-27 05:31:05.673,6436238,15886576,0,20,0,22,0,161,209,8,255,255,
2025-02-27 05:31:05.683,6436178,15796766,0,484,0,2,2,0,4,11,11,1,
2025-02-27 05:31:05.732,6436238,15796755,0,5,0,6,6,7,7,15,15,1,
2025-02-27 05:31:05.789,6436097,15940829,0,9,0,4,0,4,6,13,7,0,
2025-02-27 05:31:05.791,6436238,15940662,0,30,0,87,75,167,5866,15,15,255,
2025-02-27 05:31:06.004,6436098,15886565,0,5,0,2,0,0,4,13,6,0,
2025-02-27 05:31:06.054,6436097,15886458,0,13,0,16,11,121,104,8,8,1,
2025-02-27 05:31:06.114,6436097,16291030,0,228,0,575,103,10152,16323,6,9,1,
2025-02-27 05:31:06.177,6436096,15940981,0,468,0,7,1,11,14,11,6,0,
